id,movie_id,director_id,ord
1,1,48,1
2,2,46,1
3,3,24,1
4,4,46,1
5,5,154,1
6,6,159,1
7,7,127,1
8,8,130,1
9,9,127,1
10,10,152,1
11,11,140,1
12,12,32,1
13,13,127,1
14,14,24,1
15,15,75,1
16,15,92,2
17,15,91,3
18,16,67,1
19,17,95,1
20,17,99,2
21,18,105,1
22,19,114,1
23,20,32,1
24,21,47,1
25,22,4,1
26,23,24,1
27,24,87,1
28,25,24,1
29,26,159,1
30,27,43,1
31,27,94,2
32,28,141,1
33,29,48,1
34,30,54,1
35,31,69,1
36,32,140,1
37,33,64,1
38,34,144,1
39,35,6,1
40,36,14,1
41,37,135,1
42,38,143,1
43,38,136,2
44,39,100,1
45,40,170,1
46,41,105,1
47,42,28,1
48,43,24,1
49,44,17,1
50,45,111,1
51,46,68,1
52,47,106,1
53,48,121,1
54,48,179,2
55,49,22,1
56,50,58,1
57,51,152,1
58,52,6,1
59,53,135,1
60,54,22,1
61,55,46,1
62,56,24,1
63,57,130,1
64,58,159,1
65,59,8,1
66,60,44,1
67,61,11,1
68,62,157,1
69,63,9,1
70,63,76,2
71,64,157,1
72,65,22,1
73,66,11,1
74,67,12,1
75,67,128,2
76,67,142,3
77,68,69,1
78,69,148,1
79,70,24,1
80,71,157,1
81,72,130,1
82,73,123,1
83,74,97,1
84,74,3,2
85,75,114,1
86,76,82,1
87,77,108,1
88,78,176,1
89,79,168,1
90,80,9,1
91,80,76,2
92,81,64,1
93,82,61,1
94,83,152,1
95,84,103,1
96,85,131,1
97,86,155,1
98,86,52,2
99,87,4,1
100,88,31,1
101,89,115,1
102,90,97,1
103,91,39,1
104,92,133,1
105,93,113,1
106,94,157,1
107,95,167,1
108,96,130,1
109,97,33,1
110,98,4,1
111,99,122,1
112,100,50,1
113,101,6,1
114,102,11,1
115,103,6,1
116,104,73,1
117,105,11,1
118,106,157,1
119,107,157,1
120,108,16,1
121,109,166,1
122,110,38,1
123,111,112,1
124,112,125,1
125,112,13,2
126,113,138,1
127,114,56,1
128,115,10,1
129,116,159,1
130,117,50,1
131,118,83,1
132,119,27,1
133,120,62,1
134,121,172,1
135,122,1,1
136,122,7,2
137,123,105,1
138,124,148,1
139,125,117,1
140,126,119,1
141,127,88,1
142,128,152,1
143,129,24,1
144,130,22,1
145,131,11,1
146,132,45,1
147,133,105,1
148,134,126,1
149,135,89,1
150,136,156,1
151,137,129,1
152,138,4,1
153,139,105,1
154,140,124,1
155,141,60,1
156,142,105,1
157,143,25,1
158,144,101,1
159,145,159,1
160,146,146,1
161,147,81,1
162,148,4,1
163,149,42,1
164,149,77,2
165,150,164,1
166,150,165,2
167,151,130,1
168,152,85,1
169,153,78,1
170,154,4,1
171,155,8,1
172,155,97,2
173,156,34,1
174,157,86,1
175,158,144,1
176,159,71,1
177,160,105,1
178,161,171,1
179,161,53,2
180,161,149,3
181,162,6,1
182,163,64,1
183,164,62,1
184,165,90,1
185,166,125,1
186,166,147,2
187,167,38,1
188,168,104,1
189,169,33,1
190,170,30,1
191,171,77,1
192,171,42,2
193,172,51,1
194,173,25,1
195,174,159,1
196,175,64,1
197,176,25,1
198,177,102,1
199,178,153,1
200,178,20,2
201,179,36,1
202,180,135,1
203,181,22,1
204,182,158,1
205,183,132,1
206,184,173,1
207,185,175,1
208,186,32,1
209,187,40,1
210,188,157,1
211,189,26,1
212,189,18,2
213,190,74,1
214,191,108,1
215,192,110,1
216,193,66,1
217,194,21,1
218,195,14,1
219,196,65,1
220,197,18,1
221,198,29,1
222,199,47,1
223,200,55,1
224,201,129,1
225,202,125,1
226,202,35,2
227,202,97,3
228,203,2,1
229,204,37,1
230,204,23,2
231,205,159,1
232,206,66,1
233,207,98,1
234,208,77,1
235,208,42,2
236,209,177,1
237,210,70,1
238,211,15,1
239,211,72,2
240,212,19,1
241,213,163,1
242,214,80,1
243,215,120,1
244,216,70,1
245,217,169,1
246,218,69,1
247,219,161,1
248,220,132,1
249,221,146,1
250,222,154,1
251,223,137,1
252,224,175,1
253,225,151,1
254,226,171,1
255,226,53,2
256,226,109,3
257,226,118,4
258,226,134,5
259,226,93,6
260,227,107,1
261,228,15,1
262,229,174,1
263,230,59,1
264,231,41,1
265,232,63,1
266,233,79,1
267,234,178,1
268,235,57,1
269,236,96,1
270,237,123,1
271,238,5,1
272,239,150,1
273,240,6,1
274,241,160,1
275,242,139,1
276,243,47,1
277,244,49,1
278,245,66,1
279,246,15,1
280,247,162,1
281,248,165,1
282,249,145,1
283,249,84,2
284,250,116,1
